"Country","pbi"
"Rep. of the Congo",2.939e+10
"Chad",2.862e+10
"Tajikistan",2.843e+10
"Armenia",2.834e+10
"Mauritius",2.827e+10
"Guinea",2.797e+10
"Namibia",2.66e+10
"Jamaica",2.606e+10
"Benin",2.539e+10
"Rwanda",2.468e+10
"Moldova",2.372e+10
"Kyrgyzstan",2.315e+10
"Malawi",2.242e+10
"Niger",2.186e+10
"West Bank",2.122e+10
"Somalia",2.044e+10
"South Sudan",2.001e+10
"Haiti",1.997e+10
"Kosovo",1.96e+10
"Malta",1.926e+10
"Iceland",1.818e+10
"Mauritania",1.728e+10
"Togo",1.297e+10
"The Bahamas",1.206e+10
"Eswatini",1.16e+10
"Sierra Leone",1.155e+10
"New Caledonia",1.111e+10
"Montenegro",1.108e+10
"Eritrea",9.402e+09
"Suriname",8.688e+09
"Fiji",8.629e+09
"Burundi",8.007e+09
"Monaco",7.672e+09
"Timor-Leste",7.426e+09
"Bhutan",7.205e+09
"Maldives",6.901e+09
"Isle of Man",6.792e+09
"Lesotho",6.656e+09
"Guyana",6.301e+09
"Bermuda",6.127e+09
"Liberia",6.112e+09
"Guam",5.793e+09
"Jersey",5.569e+09
"Gambia",5.556e+09
"French Polynesia",5.49e+09
"Barbados",5.218e+09
"Liechtenstein",4.978e+09
"Aruba",4.158e+09
"Virgin Islands",3.872e+09
"Cabo Verde",3.777e+09
"Djibouti",3.64e+09
"Guernsey",3.465e+09
"Central African Republic",3.39e+09
"Andorra",3.327e+09
"Belize",3.218e+09
"Guinea-Bissau",3.171e+09
"Curacao",3.128e+09
"Seychelles",2.75e+09
"Saint Lucia",2.542e+09
"Cayman Islands",2.507e+09
"Greenland",2.413e+09
"Antigua and Barbuda",2.398e+09
"San Marino",2.064e+09
"Gibraltar",2.044e+09
"Faroe Islands",2.001e+09
"Grenada",1.634e+09
"Saint Kitts and Nevis",1.55e+09
"Solomon Islands",1.33e+09
"Comoros",1.319e+09
"Saint Vincent and the Grenadines",1.265e+09
"Northern Mariana Islands",1.242e+09
"Samoa",1.137e+09
"Western Sahara",906500000
"Dominica",7.83e+08
"Vanuatu",7.72e+08
"Sao Tome and Principe",6.86e+08
"American Samoa",6.58e+08
"Turks and Caicos Islands",6.32e+08
"Tonga",5.91e+08
"Saint Martin",561500000
"British Virgin Islands",5e+08
"Sint Maarten",365800000
"Micronesia",3.48e+08
"Cook Islands",299900000
"Palau",2.64e+08
"Saint Pierre and Miquelon",261300000
"Kiribati",2.27e+08
"Falkland Islands",206400000
"Marshall Islands",1.96e+08
"Anguilla",175400000
"Montserrat",167400000
"Nauru",1.6e+08
"Wallis and Futuna",6e+07
"Tuvalu",4.2e+07
"Saint Helena, Ascension, and Tristan da Cunha",31100000
"Niue",10010000
"Tokelau",1500000
